,Project,project name,source,gis,latitude,longitude,Lat Long Values,new price,old price,type,pincode,address,size,BHK,city,RERA Approved
2022206,"GK Sunflower Apartments, Manik Sai Enclave",GK Sunflower Apartments,"3rd party, Property Science",,17.49660469,78.54658992,,4800,,Stand Alone / Apartment,500094,Manik Sai Enclave,942.5,,,no
2022207,"GK Sunflower Apartments, Manik Sai Enclave",GK Sunflower Apartments,"3rd party, Property Science",,17.49660469,78.54658992,,4800,,Stand Alone / Apartment,500094,Manik Sai Enclave,942.5,,,no
2022208,"GKs Habitat Royale, Pedso 2",GKs Habitat Royale,"3rd party, Property Science",,17.510527,78.542567,,6755,,Gated community / Apartment,500087,Pedso 2,1185,,,no
2022209,"GKs Habitat Royale, Pedso 2",GKs Habitat Royale,"3rd party, Property Science",,17.510527,78.542567,,6755,,Gated community / Apartment,500087,Pedso 2,1105,,,no
2022210,"GKs Habitat Royale, Yapral",GKs Habitat Royale,"3rd party, Property Science",,17.510527,78.542567,,6666,,Gated community / Apartment,500087,Yapral,735,,,no
2022211,"GKs Habitat Royale, Yapral",GKs Habitat Royale,"3rd party, Property Science",,17.510527,78.542567,,6666,,Gated community / Apartment,500087,Yapral,747.5,,,no
2022212,"Golf Pride Homes, Yapral",Golf Pride Homes,"3rd party, Property Science",,17.50621978,78.54053743,,4725,,Commercial Spaces,500087,Yapral,2197,,,no
2022213,"Golf Pride Homes, Yapral",Golf Pride Homes,"3rd party, Property Science",,17.50621978,78.54053743,,4725,,Commercial Spaces,500087,,6825,,,no
2022214,"gowthaminivas pedso phase2 colony, Yapral",gowthaminivas pedso phase2 colony,"3rd party, Property Science",,17.50621978,78.54053743,,7191,,Commercial Spaces,500087,Yapral,842,,,no
2022215,"gowthaminivas pedso phase2 colony, Yapral",gowthaminivas pedso phase2 colony,"3rd party, Property Science",,17.50621978,78.54053743,,7191,,Commercial Spaces,500087,Yapral,835,,,no
2022216,"Green Wood Residency, Yapral",Green Wood Residency,"3rd party, Property Science",,17.50621978,78.54053743,,5246,,Commercial Spaces,500087,Yapral,832,,,no
2022217,"Green Wood Residency, Yapral",Green Wood Residency,"3rd party, Property Science",,17.50621978,78.54053743,,5246,,Commercial Spaces,500087,Yapral,832,,,no
2022218,"Kalyans Raja Rajeshwari Residency, Yapral",Kalyans Raja Rajeshwari Residency,"3rd party, Property Science",,17.502031,78.542009,,5305,,Stand Alone / Apartment,500094,Yapral,935,,,no
2022219,"Kalyans Raja Rajeshwari Residency, Yapral",Kalyans Raja Rajeshwari Residency,"3rd party, Property Science",,17.502031,78.542009,,5305,,Stand Alone / Apartment,500094,Yapral,980,,,no
